2018-03-04 10:46:40,289 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@527511c] to [STARTING]
2018-03-04 10:46:40,289 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@527511c] to [STARTED]
2018-03-04 10:46:40,289 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3664e9ce] to [INITIALIZING]
2018-03-04 10:46:40,289 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3664e9ce] to [INITIALIZED]
2018-03-04 10:46:40,289 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3664e9ce] to [STARTING_PREP]
2018-03-04 10:46:40,289 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3664e9ce] to [STARTING]
2018-03-04 10:46:40,289 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3664e9ce] to [STARTED]
2018-03-04 10:46:40,289 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@1d528090] to [INITIALIZING]
2018-03-04 10:46:40,290 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@1d528090] to [INITIALIZED]
2018-03-04 10:46:40,290 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@1d528090] to [STARTING_PREP]
2018-03-04 10:46:40,290 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@1d528090] to [STARTING]
2018-03-04 10:46:40,290 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@1d528090] to [STARTED]
2018-03-04 10:46:40,290 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@28554ae1] to [INITIALIZING]
2018-03-04 10:46:40,290 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@28554ae1] to [INITIALIZED]
2018-03-04 10:46:40,290 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@28554ae1] to [STARTING_PREP]
2018-03-04 10:46:40,290 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@28554ae1] to [STARTING]
2018-03-04 10:46:40,290 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@28554ae1] to [STARTED]
2018-03-04 10:46:40,290 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3445f25c] to [INITIALIZING]
2018-03-04 10:46:40,291 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3445f25c] to [INITIALIZED]
2018-03-04 10:46:40,291 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3445f25c] to [STARTING_PREP]
2018-03-04 10:46:40,291 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3445f25c] to [STARTING]
2018-03-04 10:46:40,291 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3445f25c] to [STARTED]
2018-03-04 10:46:40,291 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@ae6a353] to [INITIALIZING]
2018-03-04 10:46:40,291 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@ae6a353] to [INITIALIZED]
2018-03-04 10:46:40,291 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@ae6a353] to [STARTING_PREP]
2018-03-04 10:46:40,291 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@ae6a353] to [STARTING]
2018-03-04 10:46:40,291 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@ae6a353] to [STARTED]
2018-03-04 10:46:40,291 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@645cf1da] to [INITIALIZING]
2018-03-04 10:46:40,292 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@645cf1da] to [INITIALIZED]
2018-03-04 10:46:40,292 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@645cf1da] to [STARTING_PREP]
2018-03-04 10:46:40,292 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@645cf1da] to [STARTING]
2018-03-04 10:46:40,292 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@645cf1da] to [STARTED]
2018-03-04 10:46:40,292 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2fd40525] to [INITIALIZING]
2018-03-04 10:46:40,292 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2fd40525] to [INITIALIZED]
2018-03-04 10:46:40,292 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2fd40525] to [STARTING_PREP]
2018-03-04 10:46:40,292 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2fd40525] to [STARTING]
2018-03-04 10:46:40,292 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@2fd40525] to [STARTED]
2018-03-04 10:46:40,292 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@79208b28] to [INITIALIZING]
2018-03-04 10:46:40,292 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@79208b28] to [INITIALIZED]
2018-03-04 10:46:40,293 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@79208b28] to [STARTING_PREP]
2018-03-04 10:46:40,293 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@79208b28] to [STARTING]
2018-03-04 10:46:40,293 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@79208b28] to [STARTED]
2018-03-04 10:46:40,293 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3133134d] to [INITIALIZING]
2018-03-04 10:46:40,293 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3133134d] to [INITIALIZED]
2018-03-04 10:46:40,293 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3133134d] to [STARTING_PREP]
2018-03-04 10:46:40,293 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3133134d] to [STARTING]
2018-03-04 10:46:40,293 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3133134d] to [STARTED]
2018-03-04 10:46:40,293 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@315c140e] to [INITIALIZING]
2018-03-04 10:46:40,294 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@315c140e] to [INITIALIZED]
2018-03-04 10:46:40,294 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@315c140e] to [STARTING_PREP]
2018-03-04 10:46:40,294 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@315c140e] to [STARTING]
2018-03-04 10:46:40,294 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@315c140e] to [STARTED]
2018-03-04 10:46:40,294 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@486508e5] to [INITIALIZING]
2018-03-04 10:46:40,294 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@486508e5] to [INITIALIZED]
2018-03-04 10:46:40,294 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@486508e5] to [STARTING_PREP]
2018-03-04 10:46:40,294 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@486508e5] to [STARTING]
2018-03-04 10:46:40,294 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@486508e5] to [STARTED]
2018-03-04 10:46:40,295 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3beb586c] to [INITIALIZING]
2018-03-04 10:46:40,295 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3beb586c] to [INITIALIZED]
