2018-01-26 12:06:21,088 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@4078a918] to [STARTED]
2018-01-26 12:06:21,089 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [INITIALIZING]
2018-01-26 12:06:21,090 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [INITIALIZED]
2018-01-26 12:06:21,090 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [STARTING_PREP]
2018-01-26 12:06:21,091 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [STARTING]
2018-01-26 12:06:21,091 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@24f34a5a] to [STARTED]
2018-01-26 12:06:21,091 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [INITIALIZING]
2018-01-26 12:06:21,091 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [INITIALIZED]
2018-01-26 12:06:21,091 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [STARTING_PREP]
2018-01-26 12:06:21,091 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [STARTING]
2018-01-26 12:06:21,091 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3ca33f16] to [STARTED]
2018-01-26 12:06:21,091 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6352f156] to [INITIALIZING]
2018-01-26 12:06:21,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6352f156] to [INITIALIZED]
2018-01-26 12:06:21,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6352f156] to [STARTING_PREP]
2018-01-26 12:06:21,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6352f156] to [STARTING]
2018-01-26 12:06:21,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@6352f156] to [STARTED]
2018-01-26 12:06:21,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@527511c] to [INITIALIZING]
2018-01-26 12:06:21,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@527511c] to [INITIALIZED]
2018-01-26 12:06:21,092 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@527511c] to [STARTING_PREP]
2018-01-26 12:06:21,093 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@527511c] to [STARTING]
2018-01-26 12:06:21,093 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@527511c] to [STARTED]
2018-01-26 12:06:21,094 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3664e9ce] to [INITIALIZING]
2018-01-26 12:06:21,094 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3664e9ce] to [INITIALIZED]
2018-01-26 12:06:21,095 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3664e9ce] to [STARTING_PREP]
2018-01-26 12:06:21,095 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3664e9ce] to [STARTING]
2018-01-26 12:06:21,095 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@3664e9ce] to [STARTED]
2018-01-26 12:06:21,096 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@1d528090] to [INITIALIZING]
2018-01-26 12:06:21,099 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@1d528090] to [INITIALIZED]
2018-01-26 12:06:21,100 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@1d528090] to [STARTING_PREP]
2018-01-26 12:06:21,101 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@1d528090] to [STARTING]
2018-01-26 12:06:21,101 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@1d528090] to [STARTED]
2018-01-26 12:06:21,102 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@28554ae1] to [INITIALIZING]
2018-01-26 12:06:21,103 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@28554ae1] to [INITIALIZED]
2018-01-26 12:06:21,104 |ocalhost-startStop-1 |LifecycleBase                 |F| Setting state for [org.apache.catalina.webresources.JarResourceSet@28554ae1] to [STARTING_PREP]
